City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
140,Santa Isabel Do Rio Negro,-0.4139,-65.0192,80.83,76,100,0.87,BR,2021-11-20 19:20:57
141,San Patricio,28.017,-97.5169,82.38,60,76,11.9,US,2021-11-20 19:20:57
142,Casper,42.8666,-106.3131,46.51,54,40,0.0,US,2021-11-20 19:20:58
143,Koumac,-20.5667,164.2833,73.58,79,82,8.86,NC,2021-11-20 19:20:58
144,Novaya Igirma,57.1334,103.9112,-7.44,99,56,2.77,RU,2021-11-20 19:20:58
145,Khatanga,71.9667,102.5,-22.81,99,100,5.84,RU,2021-11-20 19:20:23
146,Paamiut,61.994,-49.6678,31.44,93,99,13.0,GL,2021-11-20 19:20:59
147,Sechura,-5.5569,-80.8222,77.95,54,46,14.88,PE,2021-11-20 19:20:59
148,Bathsheba,13.2167,-59.5167,86.61,62,20,16.11,BB,2021-11-20 19:21:00
149,Vilyuysk,63.7553,121.6247,-14.12,98,95,1.79,RU,2021-11-20 19:21:00
150,Cordele,31.9635,-83.7824,65.25,45,40,10.36,US,2021-11-20 19:21:00
151,Juneau,58.3019,-134.4197,25.21,84,90,4.61,US,2021-11-20 19:21:01
152,Jamsa,61.8642,25.19,35.29,91,15,7.94,FI,2021-11-20 19:21:01
153,Saint-Joseph,-21.3667,55.6167,73.76,77,24,4.61,RE,2021-11-20 19:21:02
154,Abu Dhabi,24.4667,54.3667,77.02,69,0,5.75,AE,2021-11-20 19:17:15
155,Adrar,20.5022,-10.0711,82.15,20,92,7.85,MR,2021-11-20 19:17:49
156,Talnakh,69.4865,88.3972,-17.97,91,24,9.08,RU,2021-11-20 19:21:02
157,Grand Gaube,-20.0064,57.6608,77.38,66,0,7.0,MU,2021-11-20 19:21:02
158,Kangaatsiaq,68.3065,-53.4641,28.17,61,100,11.65,GL,2021-11-20 19:21:03
159,Hasaki,35.7333,140.8333,45.0,60,22,5.39,JP,2021-11-20 19:21:03
160,Florianopolis,-27.6146,-48.5012,72.43,52,75,1.01,BR,2021-11-20 19:21:03
161,Kaeo,-35.1,173.7833,65.32,95,99,6.17,NZ,2021-11-20 19:21:04
162,Prainha,-1.8,-53.48,77.88,88,100,0.36,BR,2021-11-20 19:21:04
163,Coquimbo,-29.9533,-71.3436,62.33,72,40,12.66,CL,2021-11-20 19:16:21
164,Gwadar,25.1216,62.3254,74.26,31,0,7.34,PK,2021-11-20 19:21:04
165,Barrow,71.2906,-156.7887,-0.38,78,20,6.91,US,2021-11-20 19:21:05
166,Calama,-22.4667,-68.9333,73.89,8,42,18.41,CL,2021-11-20 19:16:33
167,Porto Novo,6.4965,2.6036,84.02,81,76,7.72,BJ,2021-11-20 19:21:05
168,Carutapera,-1.195,-46.02,83.64,77,48,9.4,BR,2021-11-20 19:21:06
