City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
181,Bredasdorp,ZA,-34.5322,20.0403,61.29,78,100,17.25,overcast clouds
182,Biak,ID,-0.9131,122.8766,79.2,80,76,0.72,broken clouds
183,Sombrio,BR,-29.1139,-49.6167,63.93,79,0,5.79,clear sky
184,Barrow,US,71.2906,-156.7887,1.42,78,40,8.05,scattered clouds
185,Kizukuri,JP,40.8061,140.3861,43.11,75,76,4.56,broken clouds
186,Freeport,US,40.6576,-73.5832,46.38,65,1,4.0,clear sky
187,Byron Bay,AU,-28.65,153.6167,76.05,77,100,1.43,moderate rain
188,Lorengau,PG,-2.0226,147.2712,84.92,63,23,3.44,few clouds
189,Santa Flavia,IT,38.085,13.5351,59.38,81,0,1.99,clear sky
190,Usak,TR,38.5,29.4167,38.19,70,7,9.22,clear sky
191,Sola,VU,-13.8833,167.55,80.38,74,100,11.59,overcast clouds
192,Virginia Beach,US,36.8529,-75.978,50.02,75,84,2.53,broken clouds
193,Riberalta,BO,-10.9833,-66.1,75.45,90,64,1.79,broken clouds
194,Cascais,PT,38.6979,-9.4215,58.05,76,90,8.01,overcast clouds
195,Deputatskiy,RU,69.3,139.9,-7.44,98,100,2.55,overcast clouds
196,Waingapu,ID,-9.6567,120.2641,82.71,72,100,1.5,overcast clouds
197,Ribeira Grande,PT,38.5167,-28.7,65.79,77,100,28.23,overcast clouds
198,Chengde,CN,40.9725,117.9361,32.65,71,58,2.91,broken clouds
199,Barillas,GT,15.8036,-91.3158,73.74,90,97,1.95,overcast clouds
200,Aksay,RU,47.26,39.87,45.93,82,78,18.99,broken clouds
201,Pinheiro,BR,-2.5214,-45.0825,76.82,86,41,3.29,scattered clouds
202,Dikson,RU,73.5069,80.5464,-9.22,82,80,14.07,broken clouds
203,Khandbari,NP,27.3747,87.2039,56.71,89,37,1.39,scattered clouds
204,Saldanha,ZA,-33.0117,17.9442,62.65,79,73,13.6,broken clouds
205,Clyde River,CA,70.4692,-68.5914,2.26,95,100,5.08,overcast clouds
206,Fare,PF,-16.7,-151.0167,79.92,73,32,15.7,scattered clouds
207,Komsomolskiy,UZ,40.4272,71.7189,29.62,42,0,1.81,clear sky
208,Tilichiki,RU,60.4667,166.1,4.14,94,89,10.6,overcast clouds
209,Swan River,CA,52.1058,-101.2676,23.97,89,100,5.5,overcast clouds
210,Purpe,RU,64.4803,76.6897,3.85,94,100,16.02,overcast clouds
211,Nanortalik,GL,60.1432,-45.2371,36.21,98,100,7.96,moderate rain
212,Ahipara,NZ,-35.1667,173.1667,72.25,65,26,9.89,scattered clouds
213,Dryden,CA,49.7833,-92.7503,23.5,95,8,4.54,clear sky
214,Astorga,BR,-23.2325,-51.6656,79.2,57,66,4.0,broken clouds
215,Harer,ET,9.3094,42.1258,56.19,36,69,1.14,broken clouds
216,Namatanai,PG,-3.6667,152.4333,78.21,87,84,13.38,moderate rain
217,Uyuni,BO,-20.4597,-66.825,57.6,19,89,5.57,overcast clouds
218,Neepawa,CA,50.2289,-99.4664,33.82,77,94,18.21,overcast clouds
219,Pagudpud,PH,18.5616,120.7868,77.45,81,16,10.74,few clouds
